stopCode;stopName;ligneArret
GCAN;Grange-Canal;NK
GCHN;Gros-Chêne;NJ
GCMP;Grand-Champ;NC
GDHA;Grand-Hangar;NA
GEBE;Genthod-Bellevue;ND
GENT;Bois-Gentil;NV
GETE;De-Ternier;NJ
GFAQ;Grange-Falquet;NK
GIAC;Giacometti;NE
GIOL;Gardiol;NE
GLAI;Galaise;NM
GMAR;Gaillard-Marché;NV
GOS0;Gos;NO
GOUL;Goulart;NA
GPRE;Grand-Pré;NE
GRAN;Grangettes;NK
GRCA;Grand-Cara;NK
GRDL;Gradelle;NP
GRES;Grésy;NK
GRVI;Meyrin-Gravière;NA
GSAC;Gd-Saconnex-Pl.;NE, NT
GSDN;Gd-Saconnex-Dne;NE
GSMA;Gd-Sac.-Mairie;NT
GSON;Graveson;NK, NV
GTVI;Genthod-Village;ND
GUYE;Guye;NC
GYBA;Baraque-à-Cloud;NP
GYPO;Gy-Poste;NP
GYTE;Gy-Temple;NP
HAMA;Hauts-de-Magny;NE
HBOD;Henry Bordeaux;NV
HERM;Hermance;NS
HIMP;Hôtel des Impôts;NV
HOFL;Horloge Fleurie;NS
HTAI;Hautains;NA
HTCH;Hôpital Trois-Chêne;NK
HTOU;Hôpital-La Tour;NA
ICC0;ICC;NA
IFRA;Ile de France;NV
INTR;Intercontinental;NT
ISAM;Isaac-Mercier;NK, NM
JAGI;Jargilières;NE
JALP;Jardin-Alpin-Vi.;NA, NC
JMEL;Jumelles;NK
JMON;Jean Monnet;NA
JOCT;Jonction;NC, NJ
JPSA;De-Sauvage;NC
JUBE;Jussy-Bellebouche;NK
JUCH;Jussy-Château;NK
JUMR;Jussy-Meurets;NK
JUPL;Jussy-Place;NK
JVIL;De-Joinville;NA
JVUY;Vüy;NO
LABL;La Blanche;NP
LACH;La Chêna;NP
LACO;Laconnex;NM
LADO;La Donzelle;NC
LAFA;Parc La Fantasia;NV
LAND;Landecy;NO
LATU;La Tuilière;ND
LBRG;Léon Bourgeois;NV
LFOR;Le-Fort;NP
LFRG;La Forge;NK
LGLI;Lycée des Glières;NV
LHCY;Hauts-Cessy;NE
LIBR;Libération;NV
LOCH;En Louche;NM
LOUR;La Loure;NK
LRON;Livron;NV
LTOU;La Tour;NV
LULY;Lully;NM
LYON;Lyon;NA, NC, NE
MACH;Machéry;ND, NT
MAGE;Maison-Rouge;NC
MAIX;Maisonnex;NA
MALA;Malagnou;NV
MAPA;Maison de la Paix;ND
MARG;Marguerite;NS
MATH;Thônex-Mairie;NV
MCON;Maconnex;NE
MEGL;Meinier-Eglise;NP
MEMA;Meyrin-Mairie;NA
MEPR;Meinier-Pralys;NP
METR;Métropole;NA, NC, NJ, NS
MGRE;Montalègre;NS
MICE;Mies;ND
MIDE;Mon-Idée;NK
MIES;Mies;ND
MILT;Millet;NV
MIRE;Miremont;NO
MLBA;Moillebeau;NE
MLER;Milière;NO
MLGN;Malagny;ND
MLIN;Le Moulin;NC
MLPT;Malpertuis;NJ
MLRD;Molard;NA, NC, NJ, NK, NP, NV
MLVT;Malivert;NA
MNEU;Maisons-Neuves;NP
MOIL;Moillesulaz;NK, NV
MOLE;Môle;ND
MOLL;Mollaz;NM
MONE;Lycée J.Monnet;NV
MORL;Crêts-Morillon;NT
MOUI;La Mouille;NO
MOVE;Moulin-la-Grave;NM
MPAR;Mais. Parlements;NE
MRIC;Moulin Richelien;NT
MRTI;Martinet;NJ
MSNT;Maisonnette;NM
MTBL;Mont-Blanc;NA, NC, NS
MTCH;Montchoisy;NP
MTFL;Montfleury;ND
MTOU;Meinier-Tour;NP
MURA;Murailles;NP
MUSE;Muséum;NV
MVER;Moulin-de-Vert;NJ
MYRN;Meyrin-Village;NA
NAIS;Nant-d'Aisy;NS
NANT;Le Nant;ND, NT
NATI;Nations;ND, NT
NGAR;Nyon-Gare;ND
OBGE;Observatoire GE;NT
ONEX;Onex-Salle communale;NJ
ONMA;Onex-Marché;NJ
OUCH;Les Ouches;NC
OXFR;Ornex-Fruitière;NE
PAGN;Pl. d'Allemogne;NA
PAIL;Pailly-Balexert;NA
PARC;Parcs;NS
PASS;La Passe;NJ
PBOC;Pont-Bochet;NK
PBRU;Planche-Brulée;NE
PCEA;Pont-Céard;ND
PCHA;Plateau Champel;NO
PEIL;Peillonnex;NK
PEMA;Perly-Mairie;NM
PENT;Penthes;ND
PESC;Peschier;NO
PEUP;Peupliers;NK
PEVI;Perly-Village;NM
PGRA;Petite-Grave;NJ
PIBO;Pierre à Bochet;NK
PINC;Pinchat-la-Tour;NO
PLDI;Palladium;NC, NJ
PLEC;La Plaine-Ecole;NC
PLEV;Pl. Eaux-Vives;NP, NS
PLEY;Palais Eynard;NO
PLGE;Genève-Plage;NS
PLIO;Lion;NA
PLMA;Pl. des Marchés;NV
PLNT;Planet;NT
PLOU;Plan-les-Ouates;NM
PLPA;Plainpalais;NM
PLTA;Planta;NP
PLUL;Pont-de-Lully;NM
PMIO;Petit-Miolan;NP
PMOR;Place A. Moret;NV
PNEV;Place de Neuve;NO
POCH;Port Choiseul;ND
POLT;Place en Poulet;NA
POMI;Le Pommier;NE, NT
PONT;Pontets;NM
POST;Poste;NT
POTE;Poterie;NA, NE
POUS;Peney-Dessous;NC
PPAL;Prés-Palais;NS
PPLA;Prénépla;NE
PPOL;Pré-Polly;NM
PR47;P+R P47;NE
PRAR;Prairie;NV
PRBE;P+R Bernex;NJ
PREL;La Prêle;NT
PREV;Prevessin-Möens;NE
PRGM;P+R Gare Meyrin;NC
PRGR;Progrès;NC
PRLA;La Pralay;ND
PRRI;Prairie;NC
PRUL;Prulay;NA
PSAC;Petit-Saconnex;NE
PSGE;Presinge;NK
PSRY;Passeiry;NM
PSSY;Peissy;NC
PSUD;Plein-Sud;NK
PTAR;Pont-d'Arve;NM
PTLA;Petit-Lancy;NJ
PTOU;Les Petoux;NK
PTPE;Pont-de-Peney;NJ
PUMA;Puplinge-Mairie;NK
PYMA;Pregny-Mairie;ND
PYVI;Pregny-Village;ND
QUID;Quidort;NJ
RANN;Rte d'Annecy;NO
REFT;Le Renfort;NM
RICH;Richelien;NT
RIEU;Rieu;NV
RIPP;Rippaz;NS
RIVE;Rive;NA, NC, NJ, NK, NP, NS, NV
RLAC;Rue du Lac;NS
RLUL;Rte de Lullier;NK
ROCH;Roches;NK
ROMA;Romagny;NV
RPRS;Rte de Presinge;NK
RSMA;R. de St-Maurice;NS
RTEP;Rte d'Epeisses;NJ
RUSS;Russin-Village;NC
RUTH;Ruth;NS
SADN;Sauverny-Douane;NT
