codeArret;nomArret;ligneArret
GRAV;Gravière;NS
GRCA;Grand-Cara;NK
GRDL;Gradelle;NP
GRES;Grésy;NK
GRVI;Meyrin-Gravière;NA
GSAC;Gd-Saconnex-Pl.;NE
GSDN;Gd-Saconnex-Dne;NE
GSON;Graveson;NK, NV
GTVI;Genthod-Village;ND
GUYE;Guye;NC
GYEG;Gy-Eglise;NP
GYPO;Gy-Poste;NP
HAMA;Hauts-de-Magny;NE
HBOD;Henry Bordeaux;NV
HERM;Hermance;NS
HIMP;Hôtel des Impôts;NV
HOFL;Horloge Fleurie;NS
HTAI;Hautains;NA
HTCH;Hôpital Trois-Ch;NK
HTOU;Hôpital-La Tour;NA
ICC0;ICC;NA
IFRA;Ile de France;NV
ISAM;Isaac-Mercier;NK, NM
JAGI;Jargilières;NE
JALP;Jardin-Alpin-Vi.;NA,NC
JMEL;Jumelles;NK
JMON;Jean Monnet;NA
JOCT;Jonction;NC, JC
JPSA;J-Ph.-de-Sauvage;NC
JUCH;Jussy-Château;NK
JUFE;Jules Ferry;NV
JUMR;Jussy-Meurets;NK
JUPL;Jussy-Place;NK
JURA;Jura;NV
JVIL;De-Joinville;NA
JVUY;Jules-Vüy;NO
LABL;La Blanche;NP
LACH;La Chêna;NP
LACO;Laconnex;NM
LADO;La Donzelle;NC
LAFA;Parc La Fantasia;NV
LATU;La Tuilière;ND
LBRG;Léon Bourgeois;NV
LFOR;Le-Fort;NP
LFRG;La Forge;NK
LGLI;Lycée des Glières;NV
LHCY;Les Hts-de-Cessy;NE
LIBR;Libération;NV
LOCH;En Louche;NM
LOUR;La Loure;NK
LRON;Livron;NV
LTOU;La Tour;NV
LULY;Lully;NM
LYON;Lyon;NA, NC, NE
MACH;Machéry;ND
MAGE;Maison-Rouge;NC
MAIX;Maisonnex;NA
MALA;Malagnou;NV
MARG;Marguerite;NS
MATH;Mairie-Thônex;NV
MCON;Maconnex;NE
MEGL;Meinier-Eglise;NP
MEMA;Meyrin-Mairie;NA
MEPR;Meinier-Pralys;NP
METR;Métropole;NA, NJ, NS
MGRE;Montalègre;NS
MICE;Mies;ND
MIDE;Mon-Idée;NK
MIES;Mies;ND
MILT;Millet;NV
MIRE;Miremont;NO
MLBA;Moillebeau;NE
MLER;Milière;NO
MLGN;Malagny;ND
MLIN;Le Moulin;NC
MLPT;Malpertuis;NJ
MLRD;Molard;NA, NJ, NK, NP, NV
MLVT;Malivert;NA
MNEU;Maisons-Neuves;NP
MOIL;Moillesulaz;NK, NV
MOLE;Môle;ND
MOLL;Mollaz;NM
MOUI;La Mouille;NO
MOVE;Moulin-la-Grave;NM
MPAR;Mais. Parlements;NE
MRCH;Marché;NM, NO
MRGI;Morgines;NJ
MRTI;Martinet;NJ
MSNT;Maisonnette;NM
MTBL;Mont-Blanc;NA, NS
MTCH;Montchoisy;NP
MTFL;Montfleury;ND
MTOU;Meinier-Tour;NP
MURA;Murailles;NP
MUSE;Muséum;NV
MVER;Moulin-de-Vert;NJ
MYRN;Meyrin-Village;NA
NAIS;Nant-d'Aisy;NS
NANT;Le Nant;ND
NATI;Nations;ND
NGAR;Nyon-Gare;ND
ONEX;Onex;NJ
ONMA;Onex-Marché;NJ
OUCH;Les Ouches;NC
OXFR;Ornex-Fruitière;NE
PAGN;Pl. d'Allemogne;NA
PAIL;Pailly-Balexert;NA
PARC;Parcs;NS
PASS;La Passe;NJ
PBOC;Pont-Bochet;NK
PBRU;Planche-Brulée;NE
PCEA;Pont-Céard;ND
PCHA;Plateau Champel;NO
PEIL;Peillonnex;NK
PEMA;Perly-Mairie;NM
PENT;Penthes;ND
PERI;Perrier;NV
PESC;Peschier;NO
PEUP;Peupliers;NK
PEVI;Perly-Village;NM
PGRA;Petite-Grave;NJ
PIBO;Pierre à Bochet;NK
PINC;Pinchat-la-Tour;NO
PLDI;Palladium;NC, NJ
PLEC;La Plaine-Ecole;NC
PLEV;Pl. Eaux-Vives;NP, NS
PLEY;Palais Eynard;NO
PLGE;Genève-Plage;NS
PLIO;Lion;NA
PLOU;Plan-les-Ouates;NM
PLPA;Plainpalais;NM
PLTA;Planta;NP
PLUL;Pont-de-Lully;NM
PMIO;Petit-Miolan;NP
PMOR;Place A. Moret;NV
PNEV;Place de Neuve;NO
POCH;Port Choiseul;ND
POLT;Place en Poulet;NA
POMI;Le Pommier;NE
PONT;Pontets;NM
POTE;Poterie;NA, NE
POUS;Peney-Dessous;NC
PPAL;Prés-Palais;NS
PPLA;Prénépla;NE
PPOL;Pré-Polly;NM
PR47;P+R P47;NE
PRBE;P+R Bernex;NJ
PREV;Prevessin-Möens;NE
PRGM;P+R Gare Meyrin;NC
PRGR;Progrès;NC
PRLA;La Pralay;ND
PRRI;Prairie;NC
PRUL;Prulay;NA
PSAC;Petit-Saconnex;NE
PSGE;Presinge;NK
PSRY;Passeiry;NM
PSSY;Peissy;NC
PSUD;Plein-Sud;NK
PTAR;Pont-d'Arve;NM
PTLA;Petit-Lancy;NJ
PTOU;Les Petoux;NK
PTPE;Pont-de-Peney;NJ
PUMA;Puplinge-Mairie;NK
PYMA;Pregny-Mairie;ND
